-240256|EC|1
-1720104|EX|100
-10759972|KS|1
-10480008|KS|1
-9120036|KS|1
-7680148|KS|1
-1560276|EX|100
799776|SK|12
1799708|EX|15
2919744|SK|50
879772|SK|5
-120208|AC|1
3439744|KS|1
1959768|KS|1
1519708|EX|200
-800192|MS|1
-640244|KS|1
-2840240|EX|100
-3360292|AC|1
-2480208|KS|1
-1880232|AC|1
3919688|EV|1
3039696|EX|200
-2200148|SK|2
-1840196|HC|1
-1800156|EX|100
39756|EX|200
-440244|EX|15
-2400216|EX|200
-560160|KS|1
-3160308|KS|1
-2080116|EC|1
5919860|KS|1
-160100|KS|1
-2240088|MS|1
5119584|MS|1
6199592|KS|1
5879612|AC|1
1839832|KS|1
599840|KS|1
2999808|AC|1
4199828|KS|1
2959904|EX|100
6999916|EX|200
6159900|EC|1
-2200188|HC|1
39804|AC|1
5679620|EX|100
1479880|SK|3
-520168|EX|100
4919628|AC|1
4639628|EV|0
5439640|EC|1
5639752|KS|1
0|EX|100
4039612|EX|100
3919620|EX|100
4479568|AC|1
3279644|EX|15
4759856|EX|100
4279888|EX|100
3639888|EX|100
3319936|EX|100
5799932|EC|1
4479700|EX|100
4479832|KS|1
-2200180|EX|100
7559600|EX|100
3359780|AC|1
639888|EX|200
5200140|EC|1
5280272|EX|200
5400272|EX|100
5080304|AC|1
5280296|EX|100
5320328|KS|1
5119556|EX|100
5039556|EX|100
4239724|EX|200
-1560188|EX|100
7839588|AC|1
5160380|MS|1
5280404|HC|1
5360432|KS|1
5160336|SK|4
5040476|KS|1
5280500|EV|2
5080496|KS|1
4239776|AC|1
4319672|KS|1
3559792|HC|1
3199820|SK|0
5320660|EX|100
5360732|EX|100
5320824|EX|200
5160864|HC|1
1599920|EX|100
719620|AC|1
3879572|EX|100
2239640|EX|200
3359580|EX|100
3519820|EX|100
4560564|EX|200
4680612|EX|200
6399868|KS|1
3959588|AC|1
-7080392|KS|1
-8440356|EV|4
-8600356|EX|200
-8960332|AC|1
-8720256|EX|100
1719996|KS|1
4999888|AC|1
5479856|AC|1
-2919980|EC|1
-3559936|KS|1
-4199936|HC|1
-4600020|KS|1
-5479948|EX|100
-5640092|EV|3
-5400108|EX|200
-3520100|EX|100
-4480156|EX|200
-5400236|EX|100
-4640260|EX|100
-6800032|KS|1
-3600092|EX|200
-5160280|AC|1
959960|AC|1
1759960|AC|1
5439808|EX|100
1719892|KS|1
2599880|EX|100
2559796|EX|100
5320488|EX|15
4|AC|1
-8240012|SK|14
-8000148|AC|1
-6720044|MS|1
8|EX|100
-9799980|EX|100
-10760004|EV|5
-10839996|AC|1
-11880100|HC|1
4079964|EX|200
1920384|SK|51
1480360|HC|1
2480400|KS|1
-5119800|EX|100
-4359680|MS|1
-4839680|EX|200
-5039728|KS|1
-5159700|EX|200
-5959772|EX|100
1880164|EX|200
2520192|AC|1
1640132|EC|1
-1919808|EX|200
-319852|EX|100
120160|EC|1
1280164|MS|1
960128|EC|1
1040108|EX|100
20|EX|200
-6280316|EX|200
-8880252|EX|100
-4640192|EX|100
-6799732|HC|1
-3240164|EX|15
919904|AC|1
-2480280|KS|1
799800|EC|1
559716|EX|200
-1680144|AC|1
4559492|AC|1
4599508|KS|1
3039472|EX|100
-6719712|EC|1
-6119672|KS|1
-6159656|EX|100
-6079640|EX|200
-6279608|MS|1
5239452|SK|8
2799624|AC|1
6639948|EX|200
2479664|MS|1
2079564|KS|1
-10120040|AC|1
-8400128|KS|1
6359836|KS|1
7599824|AC|1
7639812|EX|100
7959788|HC|1
-5759844|EX|100
7679852|AC|1
-4599584|HC|1
-4159572|EX|200
-5159576|KS|1
-5479592|EX|100
-6119704|EX|200
7199904|KS|1
-4160084|EX|100
2719900|EX|100
-6159628|HC|1
8839900|EC|1
-6959592|AC|1
8599904|EC|1
9119928|AC|1
8719856|EX|100
-6479528|EC|1
6839792|EX|200
-5959556|EX|15
16|EX|100
